"","pwr","TrtHRA","CtrlHRA","n1","n2"
"1",0.567,0.653501784026918,0.596250200308358,14,55
"2",0.522,0.653234547431963,0.59632982416623,14,55
"3",0.554,0.652314456528611,0.596578509571662,15,54
"4",0.591,0.65298095988225,0.596397882467608,16,53
"5",0.602,0.652767204453947,0.5964603599514,17,52
"6",0.598,0.652854989612925,0.596405786447082,17,52
"7",0.625,0.653098644782424,0.596398739544979,18,51
"8",0.627,0.652255417138809,0.596685343013507,19,50
"9",0.62,0.652367983093231,0.59659732431534,19,50
"10",0.651,0.653032998104153,0.596304973427041,20,49
"11",0.671,0.653150971298679,0.596318754568942,21,48
"12",0.63,0.651805857549135,0.596869852964846,21,48
"13",0.667,0.652512071382951,0.596589701945381,22,47
"14",0.648,0.651743003410745,0.596918328262707,23,46
"15",0.659,0.652385883265497,0.596657248110058,23,46
"16",0.658,0.65160202977028,0.597080068727637,24,45
"17",0.695,0.653413274331151,0.596155197874733,25,44
"18",0.7,0.652515614005655,0.596512715887661,26,43
"19",0.718,0.652733542673151,0.596499868983405,26,43
"20",0.711,0.653333761833821,0.59618041990339,27,42
"21",0.722,0.652791700406805,0.596520287828726,28,41
"22",0.722,0.653436587133991,0.595997128641799,28,41
"23",0.706,0.652194914297357,0.597006825729159,29,40
"24",0.728,0.653168367290496,0.596138090082974,30,39
"25",0.734,0.653137270624719,0.596306921935204,30,39
"26",0.713,0.652312678059281,0.596848587154855,31,38
"27",0.721,0.652461633713724,0.596760824704517,32,37
"28",0.739,0.65341543176302,0.595960354055733,32,37
"29",0.728,0.652883993027439,0.596313749560158,33,36
"30",0.724,0.652998476917485,0.596376392721386,34,35
"31",0.725,0.652706388243162,0.596644155853905,34,35
"32",0.724,0.652823450829569,0.596485791312859,35,34
"33",0.723,0.652951462900296,0.596340363665109,36,33
"34",0.731,0.653029300053349,0.596319566956834,37,32
"35",0.707,0.652471367852507,0.596796264699009,37,32
"36",0.696,0.652698960325214,0.59673811568348,38,31
"37",0.713,0.653051421208545,0.596198948198255,39,30
"38",0.739,0.653111923077599,0.596302601102851,39,30
"39",0.713,0.652851512166379,0.596467685891733,40,29
"40",0.705,0.653308363214422,0.595859807966235,41,28
"41",0.72,0.653050462384143,0.596246591374456,41,28
