savvy_id,start_date,new_end,end_date,days
25780,2018-03-19,2018-05-18,2018-05-28,70
14619,2018-03-20,2018-05-19,2018-05-18,59
9223,2018-03-22,2018-05-21,2018-05-12,51
19229,2018-03-22,2018-05-21,2018-10-25,217
17041,2018-03-23,2018-05-22,2018-04-27,35
25199,2018-03-23,2018-05-22,2018-05-05,43
10962,2018-03-27,2018-05-26,2018-10-25,212
31525,2018-03-27,2018-05-26,2018-10-25,212
49967,2018-03-28,2018-05-27,2018-03-30,2
19336,2018-03-30,2018-05-29,2018-05-25,56
20413,2018-04-03,2018-06-02,2018-05-27,54
22720,2018-04-04,2018-06-03,2018-06-16,73
10016,2018-04-05,2018-06-04,2018-04-08,3
30899,2018-04-10,2018-06-09,2018-05-30,50
12972,2018-04-12,2018-06-11,2018-06-09,58
8461,2018-04-18,2018-06-17,2018-06-15,58
23044,2018-04-18,2018-06-17,2018-06-06,49
23881,2018-04-26,2018-06-25,2018-06-22,57
22949,2018-05-17,2018-07-16,2018-07-17,61
25643,2018-05-25,2018-07-24,2018-07-19,55
