"","savvy_id","start_date","end_date","new_end1","new_end","s14","e14"
"1",20177,2018-08-27,2018-10-24,2018-10-26,2018-10-24,2018-09-10,2018-10-10
"2",21071,2018-08-20,2018-10-25,2018-10-19,2018-10-19,2018-09-03,2018-10-05
"3",10632,2018-08-23,2018-10-25,2018-10-22,2018-10-22,2018-09-06,2018-10-08
"4",11391,2018-08-21,2018-10-25,2018-10-20,2018-10-20,2018-09-04,2018-10-06
"5",14952,2018-08-28,2018-10-05,2018-10-27,2018-10-05,2018-09-11,2018-09-21
"6",16487,2018-08-28,2018-10-25,2018-10-27,2018-10-25,2018-09-11,2018-10-11
"7",19282,2018-08-30,2018-10-25,2018-10-29,2018-10-25,2018-09-13,2018-10-11
"8",19380,2018-08-31,2018-10-24,2018-10-30,2018-10-24,2018-09-14,2018-10-10
"9",19638,2018-08-31,2018-10-25,2018-10-30,2018-10-25,2018-09-14,2018-10-11
"10",20108,2018-08-30,2018-10-22,2018-10-29,2018-10-22,2018-09-13,2018-10-08
"11",20686,2018-08-20,2018-08-30,2018-10-19,2018-08-30,2018-09-03,2018-08-16
"12",21094,2018-08-20,2018-10-02,2018-10-19,2018-10-02,2018-09-03,2018-09-18
"13",22847,2018-08-29,2018-10-25,2018-10-28,2018-10-25,2018-09-12,2018-10-11
"14",23245,2018-08-23,2018-10-25,2018-10-22,2018-10-22,2018-09-06,2018-10-08
"15",23537,2018-08-22,2018-10-19,2018-10-21,2018-10-19,2018-09-05,2018-10-05
"16",23814,2018-08-21,2018-10-13,2018-10-20,2018-10-13,2018-09-04,2018-09-29
"17",24940,2018-08-24,2018-10-22,2018-10-23,2018-10-22,2018-09-07,2018-10-08
"18",30907,2018-08-24,2018-10-12,2018-10-23,2018-10-12,2018-09-07,2018-09-28
"19",32463,2018-08-22,2018-10-23,2018-10-21,2018-10-21,2018-09-05,2018-10-07
"20",44933,2018-09-14,2018-10-25,2018-11-13,2018-10-25,2018-09-28,2018-10-11
